Area,Nombre area
0,Image (Top)
1,Image (Central)
2,Image (Bottom)
3,Stars Rating (Top)
4,Stars Rating (Central)
5,Stars Rating (Bottom)
6,Dist to City Center (Top)
7,Dist to City Center (Central)
8,Dist to City Center (Bottom)
9,Review score letters (Top)
10,Review score letters (Central)
11,Review score letters (Bottom)
12,Review score number (Top)
13,Review score number (Central)
14,Review score number (Bottom)
15,Number of Comments (Top)
16,Number of Comments (Central)
17,Number of Comments (Bottom)
18,Location score (Top)
19,Location score (Central)
20,Location score (Bottom)
21,Price (Top)
22,Price (Central)
23,Price (Bottom)
24,Superior
25,Central
26,Inferior
