In,Node,Closeness,Betweeness,Sujeto,Posicion,Ensayo,Selection
1,Superior image,0.027777777777777776,2,101,3,1,Precio
0,Superior review score,0.03333333333333333,0,101,3,1,Precio
0,Inferior location score,0.037037037037037035,0,101,3,1,Precio
1,Superior price,0.03225806451612903,2,101,3,1,Precio
1,Inferior image,0.023809523809523808,0,101,3,1,Precio
1,Inferior review score,0.023809523809523808,0,101,3,1,Precio
1,Center location score,0.023809523809523808,0,101,3,1,Precio
0,Inferior image,1,0,101,3,3,Real
1,Superior location score,0.5,0,101,3,3,Real
1,Superior image,0.023255813953488375,2,101,1,5,Precio
1,Central image,0.02040816326530612,2,101,1,5,Precio
2,Inferior image,0.017857142857142856,0,101,1,5,Precio
0,Inferior review score,0.02040816326530612,0,101,1,5,Precio
0,Superior location score,0.02040816326530612,0,101,1,5,Precio
2,Center location score,0.017857142857142856,0,101,1,5,Precio
0,Superior price,0.02631578947368421,0,101,1,5,Precio
1,Center Number of comments,0.017857142857142856,0,101,1,5,Precio
1,Central image,0.027777777777777776,1,101,1,6,Real
0,Superior star rating,0.027777777777777776,0,101,1,6,Real
0,Superior review score,0.027777777777777776,0,101,1,6,Real
0,Inferior location score,0.03225806451612903,0,101,1,6,Real
1,Inferior image,0.023809523809523808,0,101,1,6,Real
1,Central star rating,0.023809523809523808,0,101,1,6,Real
1,Center location score,0.023809523809523808,0,101,1,6,Real
1,Superior image,0.0625,1,101,1,7,Precio
0,Superior location score,0.0625,0,101,1,7,Precio
0,Superior price,0.07692307692307693,0,101,1,7,Precio
1,Central star rating,0.05,0,101,1,7,Precio
1,Inferior location score,0.05,0,101,1,7,Precio
1,Superior image,0.017857142857142856,0,101,1,8,Comentarios
0,Inferior image,0.02040816326530612,0,101,1,8,Comentarios
0,Superior Dist from center,0.02040816326530612,0,101,1,8,Comentarios
1,Center review score,0.017857142857142856,0,101,1,8,Comentarios
0,Superior location score,0.02040816326530612,0,101,1,8,Comentarios
1,Central star rating,0.017857142857142856,0,101,1,8,Comentarios
1,Superior review score,0.017857142857142856,0,101,1,8,Comentarios
1,Superior price,0.017857142857142856,0,101,1,8,Comentarios
1,Inferior image,0.04,1,101,3,11,Comentarios
