"";"Sujeto";"Condicion";"Posicion";"ChosenCondition";"Ensayo";"Area";"Dwell";"NombreEstimulo";"NombreSeleccionado";"Secuencia";"Tempos"
"1";101;"Comentarios";"3";"Precio";1;0;"20";"Comentarios13.jpg";"Precio11.jpg";11;300
"2";101;"Precio";"3";"Precio";1;2;"10";"Precio11.jpg";"Precio11.jpg";34;150
"3";101;"Comentarios";"3";"Precio";1;9;"2";"Comentarios13.jpg";"Precio11.jpg";17;618
"4";101;"Precio";"3";"Precio";1;11;"10";"Precio11.jpg";"Precio11.jpg";31;284
"5";101;"Comentarios";"3";"Precio";1;12;"11";"Comentarios13.jpg";"Precio11.jpg";27;434
"6";101;"Real";"3";"Precio";1;19;"4";"Real12.jpg";"Precio11.jpg";22;869
"7";101;"Precio";"3";"Precio";1;20;"19";"Precio11.jpg";"Precio11.jpg";25;534
"8";101;"Comentarios";"3";"Precio";1;21;"30";"Comentarios13.jpg";"Precio11.jpg";26;100
"9";101;"Comentarios";"3";"Precio";1;21;"30";"Comentarios13.jpg";"Precio11.jpg";28;134
"10";101;"Real";"3";"Real";3;2;"14";"Real20.jpg";"Real20.jpg";18;200
"11";101;"Precio";"3";"Real";3;18;"1";"Precio19.jpg";"Real20.jpg";13;317
"12";101;"Real";"3";"Real";3;23;"15";"Real20.jpg";"Real20.jpg";17;267
"13";101;"Precio";"1";"Precio";5;0;"22";"Precio18.jpg";"Precio18.jpg";31;334
"14";101;"Comentarios";"1";"Precio";5;1;"36";"Comentarios16.jpg";"Precio18.jpg";23;234
"15";101;"Comentarios";"1";"Precio";5;1;"36";"Comentarios16.jpg";"Precio18.jpg";43;217
"16";101;"Real";"1";"Precio";5;2;"73";"Real17.jpg";"Precio18.jpg";13;284
"17";101;"Real";"1";"Precio";5;2;"73";"Real17.jpg";"Precio18.jpg";14;601
"18";101;"Real";"1";"Precio";5;2;"73";"Real17.jpg";"Precio18.jpg";15;100
"19";101;"Real";"1";"Precio";5;14;"25";"Real17.jpg";"Precio18.jpg";10;251
"20";101;"Comentarios";"1";"Precio";5;16;"6";"Comentarios16.jpg";"Precio18.jpg";27;351
"21";101;"Precio";"1";"Precio";5;18;"4";"Precio18.jpg";"Precio18.jpg";46;234
"22";101;"Comentarios";"1";"Precio";5;19;"25";"Comentarios16.jpg";"Precio18.jpg";45;167
"23";101;"Comentarios";"1";"Precio";5;19;"25";"Comentarios16.jpg";"Precio18.jpg";48;318
"24";101;"Comentarios";"1";"Precio";5;19;"25";"Comentarios16.jpg";"Precio18.jpg";54;134
"25";101;"Precio";"1";"Precio";5;21;"44";"Precio18.jpg";"Precio18.jpg";53;467
"26";101;"Real";"1";"Precio";5;23;"7";"Real17.jpg";"Precio18.jpg";56;317
"27";101;"Precio";"1";"Real";6;1;"20";"Precio1.jpg";"Real2.jpg";31;301
"28";101;"Comentarios";"1";"Real";6;2;"14";"Comentarios4.jpg";"Real2.jpg";32;200
"29";101;"Real";"1";"Real";6;3;"4";"Real2.jpg";"Real2.jpg";11;234
"30";101;"Precio";"1";"Real";6;4;"13";"Precio1.jpg";"Real2.jpg";17;317
"31";101;"Real";"1";"Real";6;12;"27";"Real2.jpg";"Real2.jpg";25;852
"32";101;"Precio";"1";"Real";6;19;"31";"Precio1.jpg";"Real2.jpg";24;1302
"33";101;"Comentarios";"1";"Real";6;20;"34";"Comentarios4.jpg";"Real2.jpg";22;1085
"34";101;"Precio";"1";"Precio";7;0;"13";"Precio16.jpg";"Precio16.jpg";17;184
"35";101;"Comentarios";"1";"Precio";7;4;"17";"Comentarios14.jpg";"Precio16.jpg";9;751
"36";101;"Precio";"1";"Precio";7;18;"9";"Precio16.jpg";"Precio16.jpg";4;234
"37";101;"Real";"1";"Precio";7;20;"13";"Real15.jpg";"Precio16.jpg";14;201
"38";101;"Precio";"1";"Precio";7;21;"5";"Precio16.jpg";"Precio16.jpg";26;267
"39";101;"Comentarios";"1";"Comentarios";8;0;"56";"Comentarios12.jpg";"Comentarios12.jpg";24;367
"40";101;"Comentarios";"1";"Comentarios";8;0;"56";"Comentarios12.jpg";"Comentarios12.jpg";25;501
"41";101;"Precio";"1";"Comentarios";8;2;"16";"Precio14.jpg";"Comentarios12.jpg";27;217
"42";101;"Real";"1";"Comentarios";8;4;"4";"Real13.jpg";"Comentarios12.jpg";10;200
"43";101;"Comentarios";"1";"Comentarios";8;6;"2";"Comentarios12.jpg";"Comentarios12.jpg";33;418
"44";101;"Comentarios";"1";"Comentarios";8;12;"13";"Comentarios12.jpg";"Comentarios12.jpg";9;317
"45";101;"Real";"1";"Comentarios";8;13;"37";"Real13.jpg";"Comentarios12.jpg";8;250
"46";101;"Real";"1";"Comentarios";8;13;"37";"Real13.jpg";"Comentarios12.jpg";14;117
