...1,Sujeto,Condicion,Posicion,ChosenCondition,Ensayo,Area,Dwell,NombreEstimulo,NombreSeleccionado,Secuencia,Tempos
483,104,Real,2,Precio,1,0,181,Real4.jpg,Precio3.jpg,4,250
484,104,Real,2,Precio,1,0,181,Real4.jpg,Precio3.jpg,5,283
485,104,Real,2,Precio,1,0,181,Real4.jpg,Precio3.jpg,6,133
489,104,Precio,2,Precio,1,1,107,Precio3.jpg,Precio3.jpg,7,167
490,104,Precio,2,Precio,1,1,107,Precio3.jpg,Precio3.jpg,8,350
498,104,Real,2,Precio,1,18,3,Real4.jpg,Precio3.jpg,10,1602
499,104,Real,2,Precio,1,21,36,Real4.jpg,Precio3.jpg,11,567
496,104,Precio,2,Precio,1,10,28,Precio3.jpg,Precio3.jpg,13,317
491,104,Precio,2,Precio,1,1,107,Precio3.jpg,Precio3.jpg,17,768
493,104,Comentarios,2,Precio,1,2,64,Comentarios1.jpg,Precio3.jpg,19,568
494,104,Comentarios,2,Precio,1,2,64,Comentarios1.jpg,Precio3.jpg,20,150
495,104,Comentarios,2,Precio,1,2,64,Comentarios1.jpg,Precio3.jpg,24,150
492,104,Precio,2,Precio,1,1,107,Precio3.jpg,Precio3.jpg,26,318
486,104,Real,2,Precio,1,0,181,Real4.jpg,Precio3.jpg,27,717
487,104,Real,2,Precio,1,0,181,Real4.jpg,Precio3.jpg,29,1085
488,104,Real,2,Precio,1,0,181,Real4.jpg,Precio3.jpg,30,318
500,104,Precio,2,Precio,1,22,28,Precio3.jpg,Precio3.jpg,40,1302
497,104,Comentarios,2,Precio,1,17,1,Comentarios1.jpg,Precio3.jpg,43,284
